Stallkarspitze	id=g:6939682
Steinkarspitze	id=g:6939683
Jochumkopf	id=g:6939684
Hintergullingspitz	id=g:6939685
Luguntenkopf	id=g:6939686
Schledererkopf	id=g:6939687
Kerschkern	id=g:6939688
Flohkopf	id=g:6939689
Haldenspitze	id=g:6939690
Rohrmooser Hörnle	id=g:6939691
Weißlehnkopf	id=g:6939692
Spieleckkogel	id=g:6939693
Pengelstein	id=g:6939695
Laliderer Spitze	id=g:6939696
Grosser Rosszahn	id=g:6939697
Schnatterbachkopf	id=g:6939698
Hönig	id=g:6939699
Kleiner östlicher Wanner	id=g:6939700
Wildwiesen	id=g:6939701
Kleiner Rosszahn	id=g:6939702
Teufelskopf	id=g:6939703
Hohe Kirche	id=g:6939704
Nägelekopf	id=g:6939705
Pleisspitze	id=g:6939706
Westliche Plattspitze	id=g:6939707
Große Hundstallköpfe	id=g:6939708
Großer/Oberer Hundstallkopf	id=g:6939709
Mittlere Plattspitze	id=g:6939710
Bullerschkopf	id=g:6939711
Schüsselkarspitze	id=g:6939712
Kackenkopf	id=g:6939714
Abendspitze	id=g:6939715
Bleispitze	id=g:6939716
Hochalmspitze	id=g:6939717
Kackenköpfe	id=g:6939718
Hintere Niedere	id=g:6939719
Laubkogel	id=g:6939720
Durchenkopf	id=g:6939721
Kesselkopf	id=g:6939723
Achterköpfe	id=g:6939726
Tristenkopf	id=g:6939727
Asitzkopf	id=g:6939731
