Bells Mill Bridge	id=g:4181891
Bells Mill Creek	id=g:4181892
Bells Bridge	id=g:4181893
Bellton Bridge	id=g:4181894
Bellton Church	id=g:4181895
Bellton Creek	id=g:4181896
Bellview	id=g:4181897
Bellview Cemetery	id=g:4181898
Bellview Church	id=g:4181899
Bellview Church	id=g:4181900
Bellview Church	id=g:4181901
Bellview Freewill Baptist Church	id=g:4181902
Bellview School (historical)	id=g:4181903
Bellville	id=g:4181904
Bellville	id=g:4181905
Bellville Church	id=g:4181906
Bellville Methodist Church (historical)	id=g:4181907
Bellville Point	id=g:4181908
Bellville School (historical)	id=g:4181909
Bellwood	id=g:4181910
Bellwood Church	id=g:4181911
Bellwood Yard	id=g:4181912
Belly Hole Lake	id=g:4181913
Belmar Lake	id=g:4181914
Belmar Lake Dam	id=g:4181915
Belmont	id=g:4181916
Belmont	id=g:4181917
Belmont	id=g:4181918
Belmont (historical)	id=g:4181919
Belmont Baptist Church	id=g:4181920
Belmont Cemetery	id=g:4181921
Belmont Baptist Church	id=g:4181922
Belmont Church	id=g:4181923
Belmont Hills Elementary School	id=g:4181924
Belmont Hills Shopping Center	id=g:4181925
Belmont Mall Shopping Center	id=g:4181926
Belmont Mountain	id=g:4181927
Belmont School (historical)	id=g:4181928
Belmount Farms	id=g:4181929
Beloit	id=g:4181930
Belt Junction	id=g:4181931
Belton	id=g:4181932
Belvedere Acres	id=g:4181933
Belvedere Manor	id=g:4181934
Belvedere Park	id=g:4181935
Belvedere Park	id=g:4181936
Belvedere Point	id=g:4181937
