Sopkachan	id=g:2121069
Gora Sopka	id=g:2121070
Gora Soperniki	id=g:2121071
Ostrov Soniga	id=g:2121072
Sondera	id=g:2121073
Sona	id=g:2121074
Ozero Somuttakh-Uolbut	id=g:2121075
Mys Somon	id=g:2121076
Bukhta Somon	id=g:2121077
Somon	id=g:2121078
Mys Somneniya	id=g:2121079
Bukhta Sommeniya	id=g:2121080
Ozero Soluntakh	id=g:2121081
Soluntakh	id=g:2121082
Solov’yëvka	id=g:2121083
Mys Solov’yëva	id=g:2121084
Solov’yëva	id=g:2121085
Soloruku	id=g:2121086
Solontsy	id=g:2121087
Sololi	id=g:2121088
Solkolyakh	id=g:2121089
Ozero Solnechnoye	id=g:2121090
Solkon	id=g:2121091
Soldatovo	id=g:2121092
Soldat	id=g:2121093
