Phumĭ Rœssei Lôr	id=g:1825422
Phumĭ Rœssei Lôk	id=g:1825423
Phumĭ Rœssei Kraôk	id=g:1825424
Phumĭ Rœssei Krăng	id=g:1825425
Phumĭ Rœssei Kêv	id=g:1825426
Phumĭ Rœssei Duŏch	id=g:1825427
Phumĭ Rœssei Duôch	id=g:1825428
Phumĭ Rœssei Daôch (1)	id=g:1825429
Phumĭ Rœssei Dângkuŏch	id=g:1825430
Phumĭ Rœssei Chuŏr	id=g:1825431
Phumĭ Rœssei Chuŏr	id=g:1825432
Phumĭ Rœssei Chŭk	id=g:1825433
Phumĭ Rœssei Chŭb	id=g:1825434
Phumĭ Rœssei Chrŭm	id=g:1825435
Phumĭ Rœssei Chhôr	id=g:1825436
Phumĭ Rœssei Chhôr	id=g:1825437
Phumĭ Rœssei Cheăh	id=g:1825438
Phumĭ Rœssei Char	id=g:1825439
Phumĭ Rœssei Bântéay	id=g:1825440
Phumĭ Rœssei	id=g:1825441
Phumĭ Rœssei	id=g:1825442
Phumĭ Rœssei	id=g:1825443
Phumĭ Rœssei	id=g:1825444
Phumĭ Rôdang	id=g:1825445
Phumĭ Rôbós Môngkól	id=g:1825446
Phumĭ Rôbiĕng	id=g:1825447
Phumĭ Rôbás Ângkănh	id=g:1825448
Phumĭ Rôbaôh Pring	id=g:1825449
Phumĭ Rôbâng Thi	id=g:1825450
Phumĭ Rôbâng Rôméas	id=g:1825451
Phumĭ Rôbâng Kras	id=g:1825452
Phumĭ Rôbâng Chrŏs	id=g:1825453
Phumĭ Rôbâng Chrŏh	id=g:1825454
Phumĭ Rôban	id=g:1825455
Phumĭ Rôbaeuk	id=g:1825456
Phumĭ Rô’ang Leu	id=g:1825457
Phumĭ Rô	id=g:1825458
Phumĭ Riĕv	id=g:1825459
Phumĭ Riĕl	id=g:1825460
Phumĭ Riĕb	id=g:1825461
Phumĭ Reu Sâmroăs	id=g:1825462
Phumĭ Reul	id=g:1825463
Phumĭ Reul	id=g:1825464
Phumĭ Reul	id=g:1825465
Phumĭ Reăng Tbal	id=g:1825466
Phumĭ Reăng Kraôl	id=g:1825467
Phumĭ Reăng Krăng Tnaôt	id=g:1825468
Phumĭ Reăng Khvav	id=g:1825469
Phumĭ Reăng Khay	id=g:1825470
Phumĭ Reăng Dêk	id=g:1825471
Phumĭ Reăng	id=g:1825472
Phumĭ Réam Choŭ	id=g:1825473
Phumĭ Réam Chéa	id=g:1825474
Phumĭ Réam Ândaeuk	id=g:1825475
Phumĭ Réakóng Sat	id=g:1825476
Phumĭ Reăk Chey	id=g:1825477
Phumĭ Réach Don Kêv	id=g:1825478
Phumĭ Réach Born (2)	id=g:1825479
Phumĭ Réach Born (1)	id=g:1825480
Phumĭ Raivóng	id=g:1825481
Phumĭ Rai	id=g:1825482
Phumĭ Pu Yŭk	id=g:1825483
Phumĭ Pu Yi	id=g:1825484
Phumĭ Pŭtyôk	id=g:1825485
Phumĭ Pŭtth Sâr	id=g:1825486
Phumĭ Pu Tru (2)	id=g:1825487
Phumĭ Pu Tru (1)	id=g:1825488
Phumĭ Pu Tru Leu	id=g:1825489
Phumĭ Pu Trông Leu	id=g:1825490
Phumĭ Pu Trông Kraôm	id=g:1825491
Phumĭ Pu Trom Leu	id=g:1825492
Phumĭ Pu Trom Kraôm	id=g:1825493
Phumĭ Pu Trŏm	id=g:1825494
Phumĭ Pŭtréa	id=g:1825495
Phumĭ Pŭtréa	id=g:1825496
Phumĭ Pu Toy (2)	id=g:1825497
Phumĭ Pu Toy (1)	id=g:1825498
Phumĭ Pu Tól	id=g:1825499
Phumĭ Puti	id=g:1825500
Phumĭ Pu Than (1)	id=g:1825501
Phumĭ Pu Than	id=g:1825502
Phumĭ Pu Rôtung	id=g:1825503
Phumĭ Pu Rôtay	id=g:1825504
Phumĭ Pu Rôtăng	id=g:1825505
Phumĭ Pu Rôpêt (2)	id=g:1825506
Phumĭ Pu Rôpêt (1)	id=g:1825507
Phumĭ Pu Rônêng	id=g:1825508
Phumĭ Pu Rôlês	id=g:1825509
Phumĭ Pu Rôdêt Leu	id=g:1825510
Phumĭ Pu Rôdêt Leu	id=g:1825511
Phumĭ Pu Rôdêt Kraôm	id=g:1825512
Phumĭ Pu Reăng	id=g:1825513
Phumĭ Pu Răch Leu	id=g:1825514
Phumĭ Pu Răch Kraôm (2)	id=g:1825515
Phumĭ Pu Práng	id=g:1825516
Phumĭ Pu Phlăn	id=g:1825517
Phumĭ Pu Pal	id=g:1825518
Phumĭ Puŏk Chăs	id=g:1825519
Phumĭ Puŏk	id=g:1825520
Phumĭ Puŏk	id=g:1825521
Phumĭ Puŏch	id=g:1825522
Phumĭ Pu Nhiĕm	id=g:1825523
Phumĭ Pu Nhai	id=g:1825524
